username, created_at, lng, lat, text
RealFrianBreind, Fri Apr 24 02:01:22 +0000 2020, -77.604684, 41.117936, Why is Goodell continuing to read from the card in his hand... my man you're getting all the info from the computer… https://t.co/6ackYIdQMJ
lovekjc_x, Fri Apr 24 02:01:23 +0000 2020, -73.948775, 40.655138, Napped for 2 hours then I’m going to question why I’m still up at 5am later 🤦🏻‍♀️
JACKYRITTLINGER, Fri Apr 24 02:01:22 +0000 2020, -72.683827, 41.864073, https://t.co/BX7Ed7NHIb
theone_desired, Fri Apr 24 02:01:23 +0000 2020, -80.181835, 38.920142, Did I use a blanket as a backdrop for these selfies? Yes. https://t.co/PpWjvY2jlf
younggrandma__, Fri Apr 24 02:01:23 +0000 2020, -73.849441, 40.850347, @astasiamyler in a tweet
gabiipdo, Fri Apr 24 02:01:24 +0000 2020, -73.412972, 41.568145, @nalonduda @leleeegomes Demais né
Slim_jimmy92, Fri Apr 24 02:01:24 +0000 2020, -73.831187, 40.670879, @BeniVeliu47 That would be fuckin legendary
KingBreezy_bish, Fri Apr 24 02:01:24 +0000 2020, -78.853563, 42.896230, I’d rather be solo than tryna make it happen with someone who ain’t on the same page as me.
helenfilipe, Fri Apr 24 02:01:24 +0000 2020, -79.662015, 43.548050, During these difficult days I want to support my students anyway I can. First week of "Mindful Leadership" Zoom cla… https://t.co/kuvGzT27P3
JamesAlba32, Fri Apr 24 02:01:24 +0000 2020, -73.254595, 40.728907, @Cav_Or_Nah_1994 JD making calls if one of these guys falls to 18-20 range?
MarkTical9140, Fri Apr 24 02:01:24 +0000 2020, -73.862078, 41.368479, 🤔🤔🤔 https://t.co/NLmRwRSsLO
_vishNchips_, Fri Apr 24 02:01:25 +0000 2020, -73.968542, 40.780709, I’m not mad...but definitely confused
itsmattiebitchz, Fri Apr 24 02:01:25 +0000 2020, -73.972455, 40.848333, I don’t .... think I do
TennysonTV, Fri Apr 24 02:01:25 +0000 2020, -74.091037, 40.821189, These draftees have some nice houses 👀 #NFLDraft
